study_id	chromosome	start	end	mcj_s	mcj_e	class_s	svclass_s	svname_s	svf_s	svlen_s	leftcn_s	rightcn_s	class_e	svclass_e	svname_e	svf_e	svlen_e	leftcn_e	rightcn_e	mech_s	mech_e	mech_c
PD7208	12	42846001	43876474	no	no	NONE	no	no	NA	NA	5.8356	7.1629	DEL	DEL	gridss199fb_8238o	39	52421	7.6755	4.1256	not_analyzed	not_analyzed	excluded
PD7208	12	43928895	47339000	no	no	DEL	DEL	gridss199fb_8238o	39	52421	4.1256	7.6663	NONE	no	no	NA	NA	8.9142	5.9	not_analyzed	not_analyzed	excluded
PD7208	12	47372025	47479406	no	no	DUP	DUP	gridss200bf_1106o	32	2279841	5.9	9.3124	BND	TRA	gridss200ff_1571o	24	NA	9.3124	5.6871	not_analyzed	not_analyzed	excluded
PD7208	12	47600654	47608488	no	no	BND	TRA	gridss200bb_1745o	22	NA	5.6871	8.6908	BND	TRA	gridss200ff_1734o	27	NA	8.6908	5.5788	not_analyzed	not_analyzed	excluded
PD7208	12	47832380	47872517	no	no	BND	TRA	gridss200bf_1559o	17	NA	5.5567	7.5203	DEL	DEL	gridss200fb_2500o	14	21129423	7.5203	5.3727	not_analyzed	not_analyzed	excluded
PD7208	12	48024075	49279179	no	no	BND	TRA	gridss200bf_1701o	14	NA	5.3727	7.8545	DUP	DUP	gridss198bf_3413o	15	18890431	8.1365	5.9435	not_analyzed	not_analyzed	excluded
PD7208	12	49651474	50835901	no	no	INV	t2tINV	gridss200bb_4590o	28	410	5.9435	9.4827	DEL	DEL	gridss200fb_8078o	25	233725	8.2664	4.9717	not_analyzed	not_analyzed	excluded
PD7208	12	51069626	51686260	no	no	DEL	DEL	gridss200fb_8078o	25	233725	4.9717	7.8952	BND	TRA	gridss200ff_7794o	19	NA	7.8952	5.1095	not_analyzed	not_analyzed	excluded
PD7208	12	52216473	52744226	no	no	DEL	DEL	gridss200fb_6500o	23	2201077	5.1095	8.3964	DEL	DEL	gridss200fb_11363o	20	6580317	8.3964	5.7384	not_analyzed	not_analyzed	excluded
PD7208	12	56329001	59190306	no	no	NONE	no	no	NA	NA	5.9826	9.4848	SGL	no	no	NA	NA	8.9218	4.9522	not_analyzed	not_analyzed	excluded
PD7208	12	59324543	60315726	no	no	DEL	DEL	gridss200fb_11363o	20	6580317	4.9522	6.5068	INV	h2hINV	gridss199ff_3706o	16	18960174	6.5068	4.2866	not_analyzed	not_analyzed	excluded
PD7208	12	63577023	65956956	no	baseline+1	DEL	DEL	gridss201fb_10259o	152	658511	4.3677	18.7358	BND	TRA	gridss201ff_14019o	95	NA	14.0833	2.9309	not_analyzed	translocation	translocation
PD7208	12	65960510	65963635	baseline+1	no	DUP	DUP	gridss201bf_10874o	295	3334201	2.9309	34.9749	DEL	DEL	gridss201fb_16448o	217	3226472	34.9749	3.6493	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD7208	12	66414755	66853407	no	no	BND	TRA	gridss202bf_69o	102	NA	3.6493	16.1631	INV	h2hINV	gridss202ff_1043o	126	1296151	19.6995	3.6443	not_analyzed	not_analyzed	excluded
PD7208	12	67305879	67346283	no	no	BND	TRA	gridss202bf_1188o	151	NA	3.6443	19.8065	DEL	DEL	gridss202fb_1858o	141	216346	19.8065	3.7587	not_analyzed	not_analyzed	excluded
PD7208	12	67562629	68395679	no	no	DEL	DEL	gridss202fb_1858o	141	216346	5.1704	21.0075	DEL	DEL	gridss202fb_4005o	35	307854	8.3301	4.3518	not_analyzed	not_analyzed	excluded
PD7208	12	68703533	72653561	no	baseline	DEL	DEL	gridss202fb_4005o	35	307854	4.3518	9.7012	BND	TRA	gridss202fb_11476o	83	NA	9.3113	1.9645	not_analyzed	translocation	translocation
PD7208	12	73024936	74663999	baseline	baseline	INV	t2tINV	gridss201bb_8457o	124	10106848	1.9645	15.1188	BND	TRA	gridss202ff_12707o	92	NA	13.7157	1.9221	intrachromosomal_complex	translocation	translocation
PD7208	12	77189069	77217683	baseline	baseline	INV	t2tINV	gridss202bb_4984o	252	7895229	2.433	30.7641	DUP	DUP	gridss203bf_661o	248	30569	30.7641	1.9232	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD7208	12	78339896	78551698	baseline	baseline	DEL	DEL	gridss202fb_5693o	297	9054053	1.9232	28.9975	BND	TRA	gridss203ff_2547o	242	NA	31.3781	1.9256	intrachromosomal_complex	translocation	translocation
PD7208	20	43024446	43743307	below_baseline	no	INV	t2tINV	gridss276bb_2888o	171	6567628	2.2589	27.1811	BND	TRA	gridss201bf_8584o	109	NA	23.1199	9.9402	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD7208	20	46914889	49250704	below_baseline	no	INV	t2tINV	gridss277bb_113o	68	7143083	2.4956	12.0411	BND	TRA	gridss202bf_69o	102	NA	23.0471	10.2366	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD7208	20	49495761	49497751	no	no	BND	TRA	gridss202fb_11476o	83	NA	10.2366	15.8561	DUP	DUP	gridss277bf_1125o	72	444465	15.8561	10.0761	not_analyzed	not_analyzed	excluded
PD7208	20	49592074	61399556	no	baseline	INV	t2tINV	gridss276bb_2888o	171	6567628	10.0761	34.5496	BND	TRA	gridss202ff_12707o	92	NA	14.9066	4.3445	not_analyzed	translocation	translocation
PD6422	6	62012765	63098466	no	no	DUP	DUP	gridss112bf_2680o	15	104329248	3.993	6.1163	BND	TRA	gridss112ff_4816h	NA	NA	8.2497	4.7861	not_analyzed	not_analyzed	excluded
PD6422	6	63178808	64445493	no	baseline	DUP	DUP	gridss112bf_4238o	61	102400666	4.7861	9.3703	BND	TRA	gridss112fb_9109h	93	NA	9.5129	2.0573	not_analyzed	translocation	translocation
PD6422	6	93029214	93030644	no	baseline	BND	TRA	gridss115bb_8816h	23	NA	5.1635	7.2228	DUP	DUP	gridss112bf_5138o	71	29220824	7.2228	2.3084	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6422	6	130765073	132687261	no	baseline	INV	t2tINV	gridss119bb_5546o	17	2126	5.007	5.9785	BND	TRA	gridss119fb_10873h	65	NA	6.8425	2.0933	not_analyzed	translocation	translocation
PD6422	6	138243420	138246132	no	no	INV	t2tINV	gridss120bb_2874o	20	8170529	4.6343	6.1663	DUP	DUP	gridss119bf_8321o	21	4811808	6.1663	4.3625	not_analyzed	not_analyzed	excluded
PD6422	6	165240526	165731849	baseline+1	no	BND	TRA	gridss122bf_9155h	49	NA	2.7477	6.1542	SGL	no	no	NA	NA	6.912	5.0099	translocation	not_analyzed	translocation
PD6422	6	165796764	167336176	no	baseline+1	INV	t2tINV	gridss112bb_5866o	62	102038160	5.0099	9.7815	BND	TRA	gridss123ff_1853h	64	NA	9.2241	3.1076	not_analyzed	translocation	translocation
PD6422	7	148792920	149265631	baseline+1	no	DUP	DUP	gridss138bf_4355o	107	1804060	3.6608	10.7961	INV	h2hINV	gridss138ff_5540o	26	5377	9.6089	6.8471	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	7	150595054	150596980	baseline+1	baseline+1	DUP	DUP	gridss138bf_6245o	95	3864594	3.7395	11.472	DUP	DUP	gridss138bf_4355o	107	1804060	11.472	4.0974	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	7	151720017	151810217	no	baseline	INV	t2tINV	gridss138bb_8846o	47	2075599	7.8445	11.175	DEL	DEL	gridss138fb_11764o	113	1983424	11.175	3.4683	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6422	7	153793641	154459648	baseline	no	DEL	DEL	gridss138fb_11764o	113	1983424	3.1742	10.7195	DUP	DUP	gridss138bf_6245o	95	3864594	11.0044	5.8389	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	8	35385001	43290630	no	no	NONE	no	no	NA	NA	4.785	7.9112	BND	TRA	gridss143ff_11627o	42	NA	6.8384	4.2273	not_analyzed	not_analyzed	excluded
PD6422	9	17436583	17445907	baseline	baseline	SGL	no	no	NA	NA	1.8131	6.2616	DEL	DEL	gridss155fb_10925o	45	65232	6.2616	2.2651	no_supporting_sv	intrachromosomal_complex	intrachromosomal_complex
PD6422	9	17470137	17498446	baseline	baseline	DUP	DUP	gridss155bf_6951o	58	15313035	2.2651	6.6485	DEL	DEL	gridss155fb_11001o	56	15192900	6.6485	2.3682	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	9	32724189	32726858	baseline	baseline	DEL	DEL	gridss157fb_4641o	53	32577	2.1142	6.8276	INV	h2hINV	gridss157ff_3509o	62	661028	6.8276	2.129	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	9	32773267	32783172	baseline	baseline	DUP	DUP	gridss157bf_2951o	70	2094379	2.129	6.4944	DUP	DUP	gridss155bf_6951o	58	15313035	6.4944	2.1773	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	9	32785786	32788434	baseline	baseline	INV	t2tINV	gridss157bb_3578o	57	2075320	2.1773	6.5678	DEL	DEL	gridss157fb_4775o	73	2085001	6.5678	1.8617	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	9	34861106	34867646	baseline	baseline	INV	t2tINV	gridss157bb_3578o	57	2075320	1.8233	6.946	DUP	DUP	gridss157bf_2951o	70	2094379	6.946	1.9583	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	9	34873435	35533763	baseline	no	DEL	DEL	gridss157fb_4775o	73	2085001	1.9583	6.244	DUP	DUP	gridss157bf_4746o	10	611237	6.1522	5.7279	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	9	35693001	35952234	no	no	NONE	no	no	NA	NA	5.7279	8.5953	SGL	no	no	NA	NA	8.5953	11.6084	not_analyzed	not_analyzed	excluded
PD6422	10	75404788	77022385	below_baseline	below_baseline	INV	t2tINV	gridss175bb_8167o	491	1617742	1.3718	41.7414	BND	TRA	gridss175ff_11802o	145	NA	13.3463	2.1857	intrachromosomal_complex	translocation	translocation
PD6422	10	77022530	77028929	below_baseline	baseline	INV	t2tINV	gridss175bb_8167o	491	1617742	2.1857	45.122	BND	TRA	gridss175fb_15895o	526	NA	45.122	3.1457	intrachromosomal_complex	translocation	translocation
PD6422	10	77029080	78517859	baseline	no	BND	TRA	gridss175bf_9763o	145	NA	3.1457	13.9026	BND	TRA	gridss176fb_2141o	28	NA	10.6509	8.8533	translocation	not_analyzed	translocation
PD6422	10	79098041	79122801	no	no	BND	TRA	gridss176bf_1902o	24	NA	7.2604	11.3219	BND	TRA	gridss176fb_3179o	50	NA	11.3219	7.2093	not_analyzed	not_analyzed	excluded
PD6422	10	79132797	79505044	no	no	BND	TRA	gridss176bf_1950o	74	NA	7.2093	13.2947	BND	TRA	gridss176fb_4071o	75	NA	12.9246	8.6582	not_analyzed	not_analyzed	excluded
PD6422	10	79712555	80497427	no	baseline	BND	TRA	gridss176bb_3178o	30	NA	8.6582	10.2899	BND	TRA	gridss176fb_5779o	96	NA	10.1418	3.4098	not_analyzed	translocation	translocation
PD6422	11	108571542	108672675	baseline	baseline	BND	TRA	gridss177fb_11048o	74	NA	2.0041	7.4114	BND	TRA	gridss192ff_5778o	72	NA	7.4114	1.9812	translocation	translocation	translocation
PD6422	12	52900001	52906600	baseline	baseline+1	NONE	no	no	NA	NA	3.3801	14.1354	BND	TRA	gridss175bf_9763o	145	NA	14.1354	3.9712	no_supporting_sv	translocation	translocation
PD6422	12	52920566	52982423	baseline+1	no	DUP	DUP	gridss200bf_4244o	115	79405	3.939	15.7355	INV	t2tINV	gridss200bb_4690o	23	820481	15.7355	5.383	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	12	52985941	52999971	no	baseline	INV	t2tINV	gridss200bb_5370o	147	529479	5.383	15.41	DUP	DUP	gridss200bf_4244o	115	79405	15.1831	3.2821	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6422	12	53048051	53063584	baseline	baseline+1	DUP	DUP	gridss200bf_4358o	521	16785614	3.2821	42.657	SGL	no	no	NA	NA	42.657	4.4263	intrachromosomal_complex	no_supporting_sv	intrachromosomal_complex
PD6422	12	53515420	53519357	baseline	baseline	INV	t2tINV	gridss200bb_5370o	147	529479	3.3516	14.9845	BND	TRA	gridss175ff_11802o	145	NA	14.9845	3.1177	intrachromosomal_complex	translocation	translocation
PD6422	12	64391710	64476452	no	no	DUP	DUP	gridss201bf_4798o	46	2147866	7.4498	11.2208	DEL	DEL	gridss201fb_9163o	37	2063432	11.2208	7.1172	not_analyzed	not_analyzed	excluded
PD6422	12	65374153	69833665	no	baseline	BND	TRA	gridss176fb_5779o	96	NA	7.1172	14.7004	DUP	DUP	gridss200bf_4358o	521	16785614	43.9448	2.8573	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6422	12	74943397	75142073	no	no	INV	t2tINV	gridss202bb_6670o	58	5257503	7.101	10.5768	INV	h2hINV	gridss202ff_1877o	38	7854475	10.5768	6.0739	not_analyzed	not_analyzed	excluded
PD6422	12	75146920	75256141	no	no	INV	t2tINV	gridss202bb_366o	46	8645106	6.0739	10.4435	DUP	DUP	gridss201bf_6149o	56	9352271	12.5072	8.5804	not_analyzed	not_analyzed	excluded
PD6422	17	15580959	15680305	baseline	no	BND	TRA	gridss112fb_9109h	93	NA	2.4942	10.5159	SGL	no	no	NA	NA	9.7291	5.351	translocation	not_analyzed	translocation
PD6422	17	15808801	15866018	no	no	BND	TRA	gridss251ff_4419o	10	NA	6.9738	6.0926	BND	TRA	gridss119ff_8699h	18	NA	6.0926	4.4045	not_analyzed	not_analyzed	excluded
PD6422	17	59211697	59231628	no	no	INV	t2tINV	gridss256bb_1855o	35	9571	7.5197	9.1634	BND	TRA	gridss119ff_7786h	26	NA	9.1634	7.1418	not_analyzed	not_analyzed	excluded
PD6422	20	51073250	51085171	baseline+1	no	INV	t2tINV	gridss277bb_1565o	30	16035	3.161	6.0872	INV	h2hINV	gridss277ff_1474o	29	4066	6.0872	3.7247	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	20	51085200	51089238	no	no	DUP	DUP	gridss277bf_856o	35	6969482	3.7247	6.3241	INV	h2hINV	gridss277ff_1474o	29	4066	6.3241	3.7069	not_analyzed	not_analyzed	excluded
PD6422	20	51089286	51492153	no	baseline	INV	t2tINV	gridss277bb_1565o	30	16035	3.7069	6.0808	INV	h2hINV	gridss276ff_2979o	47	5230188	6.8262	1.9618	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6422	20	51917876	52441574	baseline	no	INV	t2tINV	gridss276bb_3005o	64	5736596	1.9618	6.4544	DEL	DEL	gridss277fb_4366o	20	7128813	7.0306	5.7175	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	20	55905910	55974364	baseline+1	baseline+1	DUP	DUP	gridss277bf_1787o	53	4746573	2.76	6.6356	DEL	DEL	gridss277fb_7046o	44	3663305	6.6356	3.188	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD6422	20	55977408	56852550	baseline+1	no	DUP	DUP	gridss277bf_1803o	37	3745027	3.188	6.9876	DEL	DEL	gridss278fb_176o	12	493945	6.7087	5.5925	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6422	20	57346495	57736006	no	no	DEL	DEL	gridss278fb_176o	12	493945	5.5925	6.6841	INV	h2hINV	gridss277ff_2040o	9	5204257	6.6841	5.8356	not_analyzed	not_analyzed	excluded
PD6422	20	58001420	58054682	no	no	INV	t2tINV	gridss278bb_481o	12	1567666	5.8356	6.503	DUP	DUP	gridss277bf_856o	35	6969482	6.503	3.9055	not_analyzed	not_analyzed	excluded
PD6422	20	59570387	59635081	no	baseline	DEL	DEL	gridss277fb_4366o	20	7128813	4.4574	6.1987	INV	h2hINV	gridss275ff_1929o	57	25173981	6.1987	1.7382	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6422	22	48961254	49126445	no	no	INV	t2tINV	gridss288bb_1105o	54	879547	8.8112	14.633	BND	TRA	gridss123ff_1853h	64	NA	14.3875	8.1984	not_analyzed	not_analyzed	excluded
PD6422	22	49840801	50057183	no	no	INV	t2tINV	gridss288bb_1105o	54	879547	5.5228	11.738	BND	TRA	gridss112ff_4816h	NA	NA	11.738	8.3588	not_analyzed	not_analyzed	excluded
PD9599	6	33645087	34908885	no	no	INV	t2tINV	gridss109bb_11637o	110	10818981	4.938	6.8425	INV	h2hINV	gridss109ff_15635o	97	7204788	7.1073	4.8155	not_analyzed	not_analyzed	excluded
PD9599	8	36031131	38978428	baseline	no	DUP	DUP	gridss143bf_361o	266	2834648	1.9026	7.6071	DUP	DUP	gridss143bf_2068o	143	1769023	6.9796	3.8686	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD9599	11	68320664	70362733	no	below_baseline	INV	t2tINV	gridss188bb_7560o	40	27783	5.2513	6.4008	INV	h2hINV	gridss188ff_13949o	381	737	9.6635	1.0154	not_analyzed	fold_back_inversion	fold_back_inversion
PD7433	11	67115970	70645840	below_baseline	no	INV	t2tINV	gridss188bb_4751o	251	5183090	0.9153	7.4858	INV	h2hINV	gridss188ff_11632o	150	5147080	8.4424	4.6738	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD7433	11	72299061	73919287	below_baseline	no	INV	t2tINV	gridss188bb_4751o	251	5183090	0.9385	7.363	INV	h2hINV	gridss189ff_4437o	114	4767363	8.1022	5.6215	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD7433	11	74724442	81184740	no	baseline	DUP	DUP	gridss189bf_4564o	296	6460298	5.7536	12.8228	DUP	DUP	gridss189bf_4564o	296	6460298	8.7434	2.0605	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD7433	11	88427569	91846954	no	no	DEL	DEL	gridss189fb_13633o	148	12634214	4.9557	8.8156	SGL	no	no	NA	NA	7.7089	4.9865	not_analyzed	not_analyzed	excluded
PD4971	6	69862103	70441777	no	no	INV	t2tINV	gridss113bb_4245o	18	13990381	5.1519	6.0381	SGL	no	no	NA	NA	6.9488	5.8273	not_analyzed	not_analyzed	excluded
PD4971	6	70452979	71049142	no	no	INV	t2tINV	gridss113bb_5041o	28	3063873	5.8273	7.0417	BND	TRA	gridss6ff_14792o	20	NA	6.7864	5.3046	not_analyzed	not_analyzed	excluded
PD4971	6	71049167	71757686	no	no	BND	TRA	gridss30bb_17164o	28	NA	5.3046	6.2449	INV	h2hINV	gridss113ff_6897o	21	758432	6.0557	5.1066	not_analyzed	not_analyzed	excluded
PD4971	6	73516852	73532505	no	no	INV	t2tINV	gridss113bb_5041o	28	3063873	5.1699	6.2839	BND	TRA	gridss30ff_17491o	18	NA	6.2839	5.3745	not_analyzed	not_analyzed	excluded
PD4971	6	73532573	73542286	no	no	BND	TRA	gridss29fb_18139o	24	NA	5.3745	6.5879	BND	TRA	gridss30bf_2941o	27	NA	6.5879	5.962	not_analyzed	not_analyzed	excluded
PD4971	6	73560434	73657709	no	no	DUP	DUP	gridss113bf_6012o	18	3163452	5.1483	6.1764	BND	TRA	gridss6bf_8855o	21	NA	6.1764	5.1501	not_analyzed	not_analyzed	excluded
PD4971	8	31113206	32221703	baseline	no	INV	t2tINV	gridss142bb_6423o	84	4934251	1.993	6.696	SGL	no	no	NA	NA	6.696	4.4964	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD4971	8	32241328	35329414	no	baseline	BND	TRA	gridss129fb_1410o	41	NA	4.4964	6.8164	DEL	DEL	gridss142fb_14729o	93	1751234	7.1066	1.913	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD4971	8	36047457	36063726	baseline	baseline	INV	t2tINV	gridss142bb_6423o	84	4934251	1.913	6.9515	INV	h2hINV	gridss141ff_8613o	82	13864555	6.9515	1.9761	intrachromosomal_complex	intrachromosomal_complex	intrachromosomal_complex
PD4971	8	37080648	45338886	baseline	below_baseline	DEL	DEL	gridss142fb_14729o	93	1751234	1.9761	7.1631	CENTROMERE	no	no	NA	NA	6.5105	6.4777	intrachromosomal_complex	no_supporting_sv	intrachromosomal_complex
PD4971	9	85083671	87951077	no	no	BND	TRA	gridss162bb_6745h	44	NA	4.0472	6.0596	INV	h2hINV	gridss162ff_10128o	18	19111072	6.0596	4.9114	not_analyzed	not_analyzed	excluded
PD4971	9	126435763	127498980	no	no	BND	TRA	gridss166bb_8218h	16	NA	5.6181	6.609	INV	h2hINV	gridss166ff_9618o	42	1063614	6.609	4.1998	not_analyzed	not_analyzed	excluded
PD4971	9	128236532	128319330	no	no	BND	TRA	gridss166bf_7047h	34	NA	4.1998	6.7755	BND	TRA	gridss166fb_13328h	45	NA	6.7755	4.294	not_analyzed	not_analyzed	excluded
PD4971	9	128390075	128562595	no	no	INF	no	no	NA	NA	8.1023	6.6606	INV	h2hINV	gridss166ff_9618o	42	1063614	6.2493	4.3151	not_analyzed	not_analyzed	excluded
PD4971	9	128627148	128642431	no	no	BND	TRA	gridss129bb_1155o	39	NA	4.3151	6.593	SGL	no	no	NA	NA	6.593	4.7208	not_analyzed	not_analyzed	excluded
PD4971	9	128642478	128680027	no	no	BND	TRA	gridss166bf_7442h	39	NA	4.7208	6.7653	BND	TRA	gridss166fb_13937h	65	NA	6.7653	3.867	not_analyzed	not_analyzed	excluded
PD4971	9	128680048	128681987	no	no	BND	TRA	gridss166bf_7467h	47	NA	3.867	6.7484	BND	TRA	gridss166ff_11236h	39	NA	6.7484	4.3228	not_analyzed	not_analyzed	excluded
PD4971	9	128816430	128821648	no	no	BND	TRA	gridss129fb_5118o	36	NA	4.3228	6.3417	BND	TRA	gridss129ff_3264o	27	NA	6.3417	4.3761	not_analyzed	not_analyzed	excluded
PD4971	9	128821672	129214632	no	no	DEL	DEL	gridss166fb_13732o	50	269003	4.3761	6.8171	BND	TRA	gridss167ff_499h	20	NA	6.8171	5.6585	not_analyzed	not_analyzed	excluded
PD4971	11	31377001	31541085	no	no	NONE	no	no	NA	NA	8.935	15.4903	DEL	DEL	gridss184fb_9542o	40	197	14.8675	11.9702	not_analyzed	not_analyzed	excluded
PD4971	11	31541282	31545225	no	no	DEL	DEL	gridss184fb_9542o	40	197	11.9702	15.7789	INV	h2hINV	gridss184ff_8223o	42	817	13.3278	10.8768	not_analyzed	not_analyzed	excluded
PD4971	11	31737973	31775274	no	no	BND	TRA	gridss166fb_13328h	45	NA	9.8452	12.2221	BND	TRA	gridss166bf_7442h	39	NA	12.9945	9.9493	not_analyzed	not_analyzed	excluded
PD4971	11	68817609	71180321	baseline	no	DEL	DEL	gridss183fb_14077o	150	47305667	2.0287	9.9806	BND	TRA	gridss166bf_7047h	34	NA	6.5363	4.187	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD4971	11	71469691	71756276	baseline+1	no	BND	TRA	gridss129bb_3707h	41	NA	3.496	6.4243	DUP	DUP	gridss183bf_5682o	13	51735609	6.4243	5.3365	translocation	not_analyzed	translocation
PD4971	11	72547195	72578257	no	no	DEL	DEL	gridss183fb_1613o	19	59799283	5.4441	6.3434	SGL	no	no	NA	NA	6.3434	4.0596	not_analyzed	not_analyzed	excluded
PD4608	17	37323153	37405000	below_baseline	no	DUP	DUP	gridss254bf_360o	38	4851160	1.1485	6.0745	NONE	no	no	NA	NA	6.0745	4.7924	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD4608	17	37679001	38293000	no	no	NONE	no	no	NA	NA	4.7924	6.5609	NONE	no	no	NA	NA	6.5609	5.2093	not_analyzed	not_analyzed	excluded
PD4608	17	38434001	38577000	no	baseline	NONE	no	no	NA	NA	5.2093	6.468	NONE	no	no	NA	NA	6.468	1.6035	not_analyzed	no_supporting_sv	intrachromosomal_complex
PD4608	17	39206842	39752206	baseline	below_baseline	SGL	no	no	NA	NA	1.6035	7.0996	SGL	no	no	NA	NA	7.0996	1.1745	no_supporting_sv	no_supporting_sv	no_supporting_sv
PD4608	17	41716902	41878245	no	no	INV	t2tINV	gridss254bb_2988o	26	407	3.5788	6.2273	DEL	DEL	gridss254fb_5825o	39	17726641	6.5666	5.1091	not_analyzed	not_analyzed	excluded
PD4608	17	41933755	41961000	no	no	DUP	DUP	gridss254bf_1815o	39	17830560	4.3121	6.7372	NONE	no	no	NA	NA	6.7372	4.2918	not_analyzed	not_analyzed	excluded
PD4608	17	42064245	42174313	no	below_baseline	INF	no	no	NA	NA	8.4095	6.1102	DUP	DUP	gridss254bf_360o	38	4851160	6.1102	1.2751	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6044	8	22728683	22801515	no	baseline	INV	t2tINV	gridss141bb_9459o	30	6795346	3.9143	8.1024	DEL	DEL	gridss141fb_12952o	48	7338382	8.1024	2.0537	not_analyzed	intrachromosomal_complex	intrachromosomal_complex
PD6044	8	28852089	29706352	baseline	baseline	BND	TRA	gridss142bf_3491h	159	NA	2.0537	13.6733	BND	TRA	gridss142ff_6881h	244	NA	16.6519	2.054	translocation	translocation	translocation
PD6044	8	30139897	32294105	baseline	no	DEL	DEL	gridss141fb_12952o	48	7338382	2.054	7.8037	INV	h2hINV	gridss142ff_11767o	67	24084961	7.8037	3.8937	intrachromosomal_complex	not_analyzed	intrachromosomal_complex
PD6044	8	33941544	45338886	no	no	BND	TRA	gridss142bb_14143h	45	NA	3.8937	7.902	CENTROMERE	no	no	NA	NA	12.6668	12.6449	not_analyzed	not_analyzed	excluded
